coord,row_letter,step_number,persona_id,persona_name,sector,monolith_platform,physical_asset,action_name,status,capital_at_risk_cr,impact_display,speed_display,vulnerability,agentic_plug,agent_registry_id,agent_registry_uri,agent_deployment_status,agent_iam_identity,agent_framework
J8,J,8,p10,Lead Petrophysicist,SUBSURFACE GEOSCIENCES,Techlog / IP / Geolog,Offshore Production Separation Platform,Multi-Pass Wireline Curve Splicing,plugged,45,₹45 Cr / yr,3.2s vs 2.5 Hrs,1–2 hr manual shifting; cable stretch error (+1.48m shift) risks placing casing shoe into gas sand.,SciPy Splicing Agent (Slide 06): 3.2s execution, 2.9cm error, r=0.9899, automated sanity audit.,depth_match_splice_agent,projects/og-enterprise-prod/locations/us-central1/agents/depth_match_splice_agent,Production (Slide 06 Proven),splice-agent@og-enterprise-prod.iam.gserviceaccount.com,Google ADK + SciPy
J9,J,9,p10,Lead Petrophysicist,SUBSURFACE GEOSCIENCES,Techlog / IP / Geolog,Offshore Production Separation Platform,NMR T2 Cutoff Bound Fluid Volume (BVI),friction,24,₹24 Cr / yr,6s vs 3 Hrs,T2 spectral cutoff fixed at 33ms arbitrarily; underestimates tight gas perm.,Dynamic T2 spectrum inversion agent dynamically fitting cutoffs per lithofacies.,,,,,
J10,J,10,p10,Lead Petrophysicist,SUBSURFACE GEOSCIENCES,Techlog / IP / Geolog,Offshore Production Separation Platform,Thermal Neutron Capture Cross-Section,baseline,18,₹18 Cr / yr,3s vs 2 Hrs,Salinity drift across pulsed neutron logs masks remaining oil saturation.,Time-lapse sigma saturation tracker compensating for borehole fluid changeouts.,,,,,
J11,J,11,p10,Lead Petrophysicist,SUBSURFACE GEOSCIENCES,Techlog / IP / Geolog,Offshore Production Separation Platform,Dielectric Dispersion Water Salinity Solve,baseline,14,₹14 Cr / yr,4s vs 2 Hrs,Multi-frequency dielectric inversion stalled on complex matrix permittivities.,Multi-frequency dielectric dispersion solver calculating invasion salinity profile.,,,,,
J12,J,12,p10,Lead Petrophysicist,SUBSURFACE GEOSCIENCES,Techlog / IP / Geolog,Offshore Production Separation Platform,Mineral Inversion (Elemental Capture - ECS),friction,21,₹21 Cr / yr,7s vs 4 Hrs,Multi-mineral matrix linear algebra solver sensitive to missing tool yields.,Constrained linear inversion agent mapping dry mineral weights (quartz, clay, pyrite).,,,,,
J13,J,13,p10,Lead Petrophysicist,SUBSURFACE GEOSCIENCES,Techlog / IP / Geolog,Offshore Production Separation Platform,Formation Pressure Gradient & Free Water Level,critical,75,₹75 Cr / yr,5s vs 8 Hrs,MDT/RCI probe supercharging leads to wrong contact depth; dry appraisal drilled.,Supercharging pressure transient filter calculating exact true oil-water contacts (FWL).,,,,,
J14,J,14,p10,Lead Petrophysicist,SUBSURFACE GEOSCIENCES,Techlog / IP / Geolog,Offshore Production Separation Platform,Multi-Well Log Normalization (Histogram Match),friction,25,₹25 Cr / yr,8s vs 3 Wks,Legacy vendor tool calibration drift across 40 offset wells takes weeks.,Multi-well quantile histogram matching agent with sovereign baseline calibration.,,,,,
J15,J,15,p10,Lead Petrophysicist,SUBSURFACE GEOSCIENCES,Techlog / IP / Geolog,Offshore Production Separation Platform,SPWLA Compliant Composite Log Generation,baseline,12,₹12 Cr / yr,2s vs 2 Hrs,Manual track drafting, legend assembly, and export to PDF/LAS.,1-click autonomous composite log layout agent with immutable BigQuery metadata audit.,,,,,
K1,K,1,p11,Facilities & Separation Engineer,RESERVOIR & PRODUCTION,Aspen HYSYS / UniSim / Symmetry,Triethylene Glycol (TEG) Gas Contactor Tower,High-Pressure 3-Phase Separator Retention,critical,55,₹55 Cr / yr,2s vs Continuous,Oil carryover into gas line fouls compressors; water in crude fails export spec.,Stokes' law droplet settling kinetics agent managing weir interface levels in real time.,,,,,
K2,K,2,p11,Facilities & Separation Engineer,RESERVOIR & PRODUCTION,Aspen HYSYS / UniSim / Symmetry,Triethylene Glycol (TEG) Gas Contactor Tower,Triethylene Glycol (TEG) Dehydration Dewpoint,critical,65,₹65 Cr / yr,2s vs 4 Hrs,Wet gas leaves contactor (>7 lb/MMSCF); pipeline water drops out, forming solid hydrates.,Continuous water dewpoint calculator dynamically adjusting TEG circulation rate.,teg_dewpoint_sentinel,projects/og-enterprise-prod/locations/us-central1/agents/teg_dewpoint_sentinel,Planned Wave 1,teg-agent@og-enterprise-prod.iam.gserviceaccount.com,Google ADK + Flow Assurance
K3,K,3,p11,Facilities & Separation Engineer,RESERVOIR & PRODUCTION,Aspen HYSYS / UniSim / Symmetry,Triethylene Glycol (TEG) Gas Contactor Tower,Produced Water Hydrocyclone Oil-in-Water,friction,22,₹22 Cr / yr,3s vs 2 Hrs,Discharged water exceeds 29 ppm statutory limit; environmental regulatory fines imposed.,Centrifugal hydrocyclone pressure drop ratio optimizer controlling de-oiling valves.,,,,,
K4,K,4,p11,Facilities & Separation Engineer,RESERVOIR & PRODUCTION,Aspen HYSYS / UniSim / Symmetry,Triethylene Glycol (TEG) Gas Contactor Tower,Relief Valve (PSV) Fire Case Sizing Verification,baseline,18,₹18 Cr / yr,10s vs 2 Wks,API 520/521 relief load recalculation takes weeks during plant modifications.,Automated thermal relief load calculator validating flare header backpressure capacity.,,,,,
K5,K,5,p11,Facilities & Separation Engineer,RESERVOIR & PRODUCTION,Aspen HYSYS / UniSim / Symmetry,Triethylene Glycol (TEG) Gas Contactor Tower,Amine Gas Sweetening (H2S/CO2) Loading Calc,critical,70,₹70 Cr / yr,4s vs 3 Hrs,Over-rich amine causes severe column corrosion and H2S slip into sales gas.,Acid gas absorption kinetics solver balancing MDEA/MEA circulation to sales gas spec.,,,,,
K6,K,6,p11,Facilities & Separation Engineer,RESERVOIR & PRODUCTION,Aspen HYSYS / UniSim / Symmetry,Triethylene Glycol (TEG) Gas Contactor Tower,Flare Knockout Drum Liquid Slugging Defense,critical,95,₹95 Cr / yr,0.2s vs Flare Fire,Liquid carryover into flare stack shoots burning rain over offshore platform.,Flare drum high-high level interception sentinel calculating vapor disengagement.,flare_knockout_sentinel,projects/og-enterprise-prod/locations/us-central1/agents/flare_knockout_sentinel,Planned Wave 1,flare-guard@og-enterprise-prod.iam.gserviceaccount.com,Google ADK + Safety Interlocks
K7,K,7,p11,Facilities & Separation Engineer,RESERVOIR & PRODUCTION,Aspen HYSYS / UniSim / Symmetry,Triethylene Glycol (TEG) Gas Contactor Tower,Centrifugal Compressor Anti-Surge Loop Control,critical,80,₹80 Cr / yr,0.05s vs Trip,Gas flow drops below surge line; mechanical surge destroys compressor impellers.,High-speed anti-surge valve controller tracking proximity to surge line in milliseconds.,,,,,
K8,K,8,p11,Facilities & Separation Engineer,RESERVOIR & PRODUCTION,Aspen HYSYS / UniSim / Symmetry,Triethylene Glycol (TEG) Gas Contactor Tower,Molecular Sieve Adsorption Dehydration Cycle,baseline,20,₹20 Cr / yr,4s vs 2 Hrs,Bed breakthrough occurs before scheduled regen; moisture enters cryogenic NGL plant.,Breakthrough mass-transfer zone tracker predicting exact bed saturation time.,,,,,
K9,K,9,p11,Facilities & Separation Engineer,RESERVOIR & PRODUCTION,Aspen HYSYS / UniSim / Symmetry,Triethylene Glycol (TEG) Gas Contactor Tower,Fuel Gas Conditioning Superheat Temperature,baseline,25,₹25 Cr / yr,1s vs Turbine Trip,Gas turbine fuel gas drops below hydrocarbon dewpoint; liquid trips turbine.,Hydrocarbon dewpoint tracking sentinel maintaining minimum 28°C superheat margin.,,,,,
K10,K,10,p11,Facilities & Separation Engineer,RESERVOIR & PRODUCTION,Aspen HYSYS / UniSim / Symmetry,Triethylene Glycol (TEG) Gas Contactor Tower,Heat Exchanger Train Thermal Fouling Factor,friction,28,₹28 Cr / yr,6s vs 1 Day,Wax/asphaltene fouling on crude preheat exchangers wastes ₹12 Cr in fuel gas annually.,Overall heat transfer coefficient degradation agent predicting cleaning schedules.,,,,,
K11,K,11,p11,Facilities & Separation Engineer,RESERVOIR & PRODUCTION,Aspen HYSYS / UniSim / Symmetry,Triethylene Glycol (TEG) Gas Contactor Tower,Produced Gas Re-Injection Compressor Balance,baseline,19,₹19 Cr / yr,2s vs 1 Hr,High-pressure gas injection compressor stages unbalanced; interstage pressure trips unit.,Polytropic efficiency & compression ratio balancer distributing compression load.,,,,,
K12,K,12,p11,Facilities & Separation Engineer,RESERVOIR & PRODUCTION,Aspen HYSYS / UniSim / Symmetry,Triethylene Glycol (TEG) Gas Contactor Tower,Hydrocarbon Condensate Stabilization Column,baseline,16,₹16 Cr / yr,3s vs 2 Hrs,Reid Vapor Pressure exceeds 9 psia; condensate flashes and boils in storage tanks.,RVP stabilizer tower reboiler duty optimizer producing on-spec stabilized condensate.,,,,,
K13,K,13,p11,Facilities & Separation Engineer,RESERVOIR & PRODUCTION,Aspen HYSYS / UniSim / Symmetry,Triethylene Glycol (TEG) Gas Contactor Tower,Instrument Air Membrane Dryer Dewpoint,baseline,15,₹15 Cr / yr,2s vs 1 Hr,Water in instrument air lines freezes pneumatic actuator valves during winter freeze.,Desiccant dryer switching optimizer validating -40°C atmospheric dewpoint.,,,,,
K14,K,14,p11,Facilities & Separation Engineer,RESERVOIR & PRODUCTION,Aspen HYSYS / UniSim / Symmetry,Triethylene Glycol (TEG) Gas Contactor Tower,Chemical Injection Skid Dosing Rate Verification,friction,24,₹24 Cr / yr,4s vs 3 Hrs,Corrosion inhibitor pumps underdose; unnoticed wall thinning eats manifold.,Mass-flow corrosion inhibitor consumption tracker linked to real-time iron count logs.,,,,,
K15,K,15,p11,Facilities & Separation Engineer,RESERVOIR & PRODUCTION,Aspen HYSYS / UniSim / Symmetry,Triethylene Glycol (TEG) Gas Contactor Tower,Platform Energy Intensity & Carbon Flare Balance,baseline,14,₹14 Cr / yr,3s vs 1 Mo,Fuel gas and flaring emissions tallied manually on spreadsheets for annual ESG filing.,Automated energy efficiency & greenhouse gas accounting ledger logged to BigQuery.,,,,,
L1,L,1,p12,Flow Assurance & Hydrate Specialist,RESERVOIR & PRODUCTION,OLGA / LedaFlow / Multiflash,Subsea Insulated Deepwater Flowline & Riser,Subsea Flowline Hydrate Dissociation Curve,critical,85,₹85 Cr / yr,2s vs 4 Hrs,Shutdown cooling drops fluid into hydrate zone; solid ice plug seals pipeline.,Hydrate equilibrium curve tracking agent calculating exact MEG dose.,hydrate_prevention_agent,projects/og-enterprise-prod/locations/us-central1/agents/hydrate_prevention_agent,Planned Wave 1,hydrate-sentinel@og-enterprise-prod.iam.gserviceaccount.com,Google ADK + Multiphase Physics
L2,L,2,p12,Flow Assurance & Hydrate Specialist,RESERVOIR & PRODUCTION,OLGA / LedaFlow / Multiflash,Subsea Insulated Deepwater Flowline & Riser,Severe Hydrodynamic Terrain Slugging Intercept,critical,90,₹90 Cr / yr,0.5s vs Trip,Massive liquid slug surges into platform separator, tripping offshore field.,Transient slug-tracking sentinel adjusting subsea choke before slug reaches riser.,slug_catcher_choke_sentinel,projects/og-enterprise-prod/locations/us-central1/agents/slug_catcher_choke_sentinel,Planned Wave 1,slug-sentinel@og-enterprise-prod.iam.gserviceaccount.com,Google ADK + Transient Hydraulics
L3,L,3,p12,Flow Assurance & Hydrate Specialist,RESERVOIR & PRODUCTION,OLGA / LedaFlow / Multiflash,Subsea Insulated Deepwater Flowline & Riser,Depressurization Low-Temperature Embrittlement,critical,75,₹75 Cr / yr,4s vs 8 Hrs,Joule-Thomson cooling drops pipe to -50°C; pipe shatters under stress.,Isentropic expansion temperature profiler validating minimum metal design temp.,,,,,
L4,L,4,p12,Flow Assurance & Hydrate Specialist,RESERVOIR & PRODUCTION,OLGA / LedaFlow / Multiflash,Subsea Insulated Deepwater Flowline & Riser,Wax Deposition Thickness Profile Modeling,friction,26,₹26 Cr / yr,8s vs 2 Days,Wax layer builds up to 15mm; pipeline pig gets stuck midway, halting export.,Molecular diffusion wax deposition simulator determining exact pigging frequencies.,,,,,
L5,L,5,p12,Flow Assurance & Hydrate Specialist,RESERVOIR & PRODUCTION,OLGA / LedaFlow / Multiflash,Subsea Insulated Deepwater Flowline & Riser,Export Pipeline Ramp-Up Severe Surge Prediction,baseline,18,₹18 Cr / yr,5s vs 3 Hrs,Opening wells too fast pushes accumulated liquid inventory over riser tops.,Step-by-step transient ramp-up scheduler calculating maximum safe choke increments.,,,,,
L6,L,6,p12,Flow Assurance & Hydrate Specialist,RESERVOIR & PRODUCTION,OLGA / LedaFlow / Multiflash,Subsea Insulated Deepwater Flowline & Riser,MEG/Methanol Anti-Freeze Inhibitor Dosing,baseline,16,₹16 Cr / yr,2s vs 1 Hr,Overdosing thermodynamic inhibitor wastes ₹8 Cr chemicals; underdosing plugs line.,Hammerschmidt equation dosage calculator optimizing inhibitor injection rates.,,,,,
L7,L,7,p12,Flow Assurance & Hydrate Specialist,RESERVOIR & PRODUCTION,OLGA / LedaFlow / Multiflash,Subsea Insulated Deepwater Flowline & Riser,Pipeline Pigging Arrival Surge Size,baseline,20,₹20 Cr / yr,6s vs 4 Hrs,Pig pushes giant liquid plug ahead; slug catcher liquid capacity overflows.,Pigging transient liquid sweep volume simulator calculating pig transit speed.,,,,,
L8,L,8,p12,Flow Assurance & Hydrate Specialist,RESERVOIR & PRODUCTION,OLGA / LedaFlow / Multiflash,Subsea Insulated Deepwater Flowline & Riser,Asphaltene Onset Pressure (AOP) Precipitation,critical,70,₹70 Cr / yr,4s vs 1 Day,Reservoir fluid depressurizes below AOP; insoluble asphaltene tar blocks tubing.,De Boer plot & CPA EOS agent tracking near-wellbore AOP margin.,,,,,
L9,L,9,p12,Flow Assurance & Hydrate Specialist,RESERVOIR & PRODUCTION,OLGA / LedaFlow / Multiflash,Subsea Insulated Deepwater Flowline & Riser,Emulsion Rheology Effective Viscosity Profile,baseline,15,₹15 Cr / yr,3s vs 2 Hrs,High-viscosity emulsion wave stalls booster pumps in cold seabed export lines.,Pal & Rhodes emulsion inversion viscosity profiler updating friction loss.,,,,,
L10,L,10,p12,Flow Assurance & Hydrate Specialist,RESERVOIR & PRODUCTION,OLGA / LedaFlow / Multiflash,Subsea Insulated Deepwater Flowline & Riser,Multiphase Flowline Co-Current Flow Regime QC,baseline,14,₹14 Cr / yr,2s vs 1 Hr,Flow regime transitions from stratified to annular mist; causes pipe wall erosion.,Taitel-Dukler mechanistic flow regime map validator tracking superficial velocities.,,,,,
L11,L,11,p12,Flow Assurance & Hydrate Specialist,RESERVOIR & PRODUCTION,OLGA / LedaFlow / Multiflash,Subsea Insulated Deepwater Flowline & Riser,Subsea Deadleg Cooldown Time (No-Touch Window),critical,80,₹80 Cr / yr,1s vs 6 Hrs,Production shutdown gives 6-hour cooldown window before hydrates; crew exceeds limit.,Real-time transient thermal cooldown clock warning operators of hydrate deadline.,,,,,
L12,L,12,p12,Flow Assurance & Hydrate Specialist,RESERVOIR & PRODUCTION,OLGA / LedaFlow / Multiflash,Subsea Insulated Deepwater Flowline & Riser,MEG Regeneration & Salt Reclamation System,friction,22,₹22 Cr / yr,4s vs 3 Hrs,Divalent salt scaling foul boiling tubes in vacuum reclamation column.,Salt solubility limits calculator adjusting neutralization dosing in MEG boiler.,,,,,
L13,L,13,p12,Flow Assurance & Hydrate Specialist,RESERVOIR & PRODUCTION,OLGA / LedaFlow / Multiflash,Subsea Insulated Deepwater Flowline & Riser,Top-of-Line Corrosion (TLC) Condensation Rate,baseline,18,₹18 Cr / yr,5s vs 2 Hrs,Organic acid and wet gas condense on pipe ceiling where inhibitor cannot reach.,De Waard top-of-line water condensation rate simulator calculating localized loss.,,,,,
L14,L,14,p12,Flow Assurance & Hydrate Specialist,RESERVOIR & PRODUCTION,OLGA / LedaFlow / Multiflash,Subsea Insulated Deepwater Flowline & Riser,Pipeline Leak Acoustic Wave Velocity Model,baseline,25,₹25 Cr / yr,2s vs 1 Hr,Gas-liquid composition changes shift speed of sound; acoustic locator misses by 5km.,Multi-phase sound speed calculator recalibrating acoustic leak detection telemetry.,,,,,
L15,L,15,p12,Flow Assurance & Hydrate Specialist,RESERVOIR & PRODUCTION,OLGA / LedaFlow / Multiflash,Subsea Insulated Deepwater Flowline & Riser,Flow Assurance Operating Philosophy Compliance,baseline,16,₹16 Cr / yr,3s vs Manual Check,Operating procedures for start-up/shutdown buried in 600-page static reports.,Operational constraint verification agent checking live DCS commands against limits.,,,,,
M1,M,1,p13,Gas Pipeline Grid Dispatcher,MIDSTREAM TRANSMISSION,SPS / PipelineStudio / Simone,National Gas Grid 48-Inch Trunkline & Compressors,Real-Time Mass-Balance Leak Detection,critical,75,₹75 Cr / yr,1.2s vs 4 Hrs,SCADA noise masks 1.2% volumetric drop over 40 km; hazardous leak unflagged.,High-frequency transient mass-balance & negative pressure wave acoustic sentinel.,pipeline_leak_sentinel,projects/og-enterprise-prod/locations/us-central1/agents/pipeline_leak_sentinel,Planned Wave 1,pipeline-sentinel@og-enterprise-prod.iam.gserviceaccount.com,Google ADK + Acoustic Telemetry
M2,M,2,p13,Gas Pipeline Grid Dispatcher,MIDSTREAM TRANSMISSION,SPS / PipelineStudio / Simone,National Gas Grid 48-Inch Trunkline & Compressors,Hydraulic Linepack Volume Inventory Balance,friction,28,₹28 Cr / yr,6s vs 3 Hrs,Sudden cold-snap demand draws down pipeline pressure below city gate minimums.,Dynamic transient linepack inventory predictor forecasting pack/draft balance 12 hrs ahead.,,,,,
M3,M,3,p13,Gas Pipeline Grid Dispatcher,MIDSTREAM TRANSMISSION,SPS / PipelineStudio / Simone,National Gas Grid 48-Inch Trunkline & Compressors,Compressor Station Power & Fuel Dispatch,friction,35,₹35 Cr / yr,10s vs 6 Hrs,Running inefficient turbine compressors across grid wastes ₹25 Cr fuel gas monthly.,Non-linear grid optimization agent routing gas through highest-efficiency compressor units.,,,,,
M4,M,4,p13,Gas Pipeline Grid Dispatcher,MIDSTREAM TRANSMISSION,SPS / PipelineStudio / Simone,National Gas Grid 48-Inch Trunkline & Compressors,Gas Quality Hydrocarbon Dewpoint Enforcement,critical,50,₹50 Cr / yr,2s vs 2 Hrs,Heavy liquids condense inside transmission line; destroys meter runs.,Real-time Peng-Robinson hydrocarbon dewpoint tracker rejecting off-spec gas.,,,,,
M5,M,5,p13,Gas Pipeline Grid Dispatcher,MIDSTREAM TRANSMISSION,SPS / PipelineStudio / Simone,National Gas Grid 48-Inch Trunkline & Compressors,Custody Transfer Orifice Meter Gas Flow Calc,baseline,20,₹20 Cr / yr,1s vs 1 Day,Supercompressibility factor miscalculated; multi-crore billing dispute between operators.,AGA Report No. 3 & No. 8 detail method recalculator validating custody gas invoices.,,,,,
M6,M,6,p13,Gas Pipeline Grid Dispatcher,MIDSTREAM TRANSMISSION,SPS / PipelineStudio / Simone,National Gas Grid 48-Inch Trunkline & Compressors,Pipeline Pig Tracking & Velocity Control Loop,baseline,18,₹18 Cr / yr,2s vs 1 Hr,Cleaning pig speeds through bends at 12 m/s; damages pipe elbow and lodges in valve.,Transient hydraulic bypass flow calculator controlling downstream valves to govern speed.,,,,,
M7,M,7,p13,Gas Pipeline Grid Dispatcher,MIDSTREAM TRANSMISSION,SPS / PipelineStudio / Simone,National Gas Grid 48-Inch Trunkline & Compressors,Pipeline Wall In-Line Inspection (ILI) Anomaly,friction,24,₹24 Cr / yr,12s vs 2 Wks,MFL tool finds 2,000 corrosion anomalies; engineer sorts Excel for weeks.,Computer-vision MFL corrosion anomaly classifier calculating ASME B31G burst pressures.,,,,,
M8,M,8,p13,Gas Pipeline Grid Dispatcher,MIDSTREAM TRANSMISSION,SPS / PipelineStudio / Simone,National Gas Grid 48-Inch Trunkline & Compressors,City Gate Pressure Reducing Station Preheating,baseline,14,₹14 Cr / yr,2s vs 1 Hr,Joule-Thomson reduction chills gas; water freezes external control pilots.,Heat duty enthalpy balance solver controlling water bath heater fuel firing rate.,,,,,
M9,M,9,p13,Gas Pipeline Grid Dispatcher,MIDSTREAM TRANSMISSION,SPS / PipelineStudio / Simone,National Gas Grid 48-Inch Trunkline & Compressors,Emergency Pipeline Depressurization (ESD) Guard,critical,65,₹65 Cr / yr,0.2s vs Rupture,Pipeline rupture valve closes too fast; upstream pressure surge bursts joints.,Transient water-hammer & surge pressure simulator governing ESD stroke times.,,,,,
M10,M,10,p13,Gas Pipeline Grid Dispatcher,MIDSTREAM TRANSMISSION,SPS / PipelineStudio / Simone,National Gas Grid 48-Inch Trunkline & Compressors,Compressor Surge Avoidance & Discharge Temp,baseline,16,₹16 Cr / yr,2s vs 1 Hr,High discharge temperature cooks pipe coating; anti-surge recycling wastes power.,Interstage cooler optimization agent maintaining discharge gas below 60°C coating limit.,,,,,
M11,M,11,p13,Gas Pipeline Grid Dispatcher,MIDSTREAM TRANSMISSION,SPS / PipelineStudio / Simone,National Gas Grid 48-Inch Trunkline & Compressors,Bi-Directional Gas Grid Interconnect Balancing,baseline,18,₹18 Cr / yr,4s vs 3 Hrs,Flow reversal causes turbulent gas oscillation and unstable pressure regulators.,Hydraulic network loop solver governing flow direction changes across national grid.,,,,,
M12,M,12,p13,Gas Pipeline Grid Dispatcher,MIDSTREAM TRANSMISSION,SPS / PipelineStudio / Simone,National Gas Grid 48-Inch Trunkline & Compressors,Nitrogen / Inert Gas Purging Velocity Profile,baseline,15,₹15 Cr / yr,3s vs 2 Hrs,Nitrogen-gas interface mixes excessively; flammable slug formed in pipe.,Taylor dispersion mixing length calculator controlling purge velocity across pipe.,,,,,
M13,M,13,p13,Gas Pipeline Grid Dispatcher,MIDSTREAM TRANSMISSION,SPS / PipelineStudio / Simone,National Gas Grid 48-Inch Trunkline & Compressors,Odorant (THT/Mercaptan) Injection Concentration,critical,80,₹80 Cr / yr,1s vs Lab Audit,Odorant pump failure leaves high-pressure gas un-odorized; invisible leak into city.,Mass-flow odorant injection closed-loop validator tracking mg/m³ concentration at grid tips.,,,,,
M14,M,14,p13,Gas Pipeline Grid Dispatcher,MIDSTREAM TRANSMISSION,SPS / PipelineStudio / Simone,National Gas Grid 48-Inch Trunkline & Compressors,Pipeline External Cathodic Protection Audit,baseline,22,₹22 Cr / yr,3s vs 1 Wk,Impressed current CP rectifier trips; pipe wall exposed to subterranean corrosion.,Remote telemetry CP pipe-to-soil voltage monitor flagging un-protected pipe segments.,,,,,
M15,M,15,p13,Gas Pipeline Grid Dispatcher,MIDSTREAM TRANSMISSION,SPS / PipelineStudio / Simone,National Gas Grid 48-Inch Trunkline & Compressors,Daily Grid Nomination & Imbalance Penalty Calc,baseline,17,₹17 Cr / yr,2s vs 1 Day,Discrepancy between shipper nominations and actual physical off-takes creates penalties.,Autonomous nomination-versus-actual gas flow reconciler logging verified ledgers.,,,,,
N1,N,1,p14,Marine Terminal & Offloading Superintendent,MIDSTREAM TRANSMISSION,ShipX / Maritech / TerminalView,Marine Crude Tanker Offloading Jetty & Loading Arms,Tanker Jetty Berthing & Demurrage Mitigation,critical,45,₹45 Cr / yr,Instant vs 6 Hrs,Notice of Readiness lag; ₹15L/day demurrage penalty ticks per waiting vessel.,Autonomous laytime clock & berth scheduling agent minimizing vessel waiting time.,demurrage_mitigation_agent,projects/og-enterprise-prod/locations/us-central1/agents/demurrage_mitigation_agent,Planned Wave 1,demurrage-agent@og-enterprise-prod.iam.gserviceaccount.com,Google ADK + Logistics Optimization
N2,N,2,p14,Marine Terminal & Offloading Superintendent,MIDSTREAM TRANSMISSION,ShipX / Maritech / TerminalView,Marine Crude Tanker Offloading Jetty & Loading Arms,Shore-Tank-to-Vessel Custody Transfer Balance,critical,65,₹65 Cr / yr,4s vs 4 Hrs,Shore radar gauge vs ship ullage dip discrepancy (0.3% loss = ₹6 Cr cargo claim).,ASTM Table 5A/6A volume correction agent reconciling custody transfer disparities.,custody_transfer_reconciler,projects/og-enterprise-prod/locations/us-central1/agents/custody_transfer_reconciler,Planned Wave 1,custody-agent@og-enterprise-prod.iam.gserviceaccount.com,Google ADK + ASTM Standards
N3,N,3,p14,Marine Terminal & Offloading Superintendent,MIDSTREAM TRANSMISSION,ShipX / Maritech / TerminalView,Marine Crude Tanker Offloading Jetty & Loading Arms,Marine Loading Arm Quick-Connect Pressure Guard,critical,95,₹95 Cr / yr,0.1s vs Spill,Surge pressure during tanker ESD shears loading arm; crude spill in harbor.,Hydraulic surge relief & emergency breakaway coupling pressure interceptor.,,,,,
N4,N,4,p14,Marine Terminal & Offloading Superintendent,MIDSTREAM TRANSMISSION,ShipX / Maritech / TerminalView,Marine Crude Tanker Offloading Jetty & Loading Arms,Tank Vapor Recovery Unit (VRU) VOC Emissions,friction,20,₹20 Cr / yr,3s vs 2 Hrs,Vapor return line backpressure trips VRU; raw vapors vent into atmosphere.,Closed-loop marine loading vapor displacement compressor balancer.,,,,,
N5,N,5,p14,Marine Terminal & Offloading Superintendent,MIDSTREAM TRANSMISSION,ShipX / Maritech / TerminalView,Marine Crude Tanker Offloading Jetty & Loading Arms,Crude Cargo In-Line BSW & Density Measurement,baseline,16,₹16 Cr / yr,2s vs 6 Hrs,BS&W centrifuge test delays bill of lading release by 6 hours.,Coriolis density & microwave water-cut analyzer reconciling true net dry oil barrels.,,,,,
N6,N,6,p14,Marine Terminal & Offloading Superintendent,MIDSTREAM TRANSMISSION,ShipX / Maritech / TerminalView,Marine Crude Tanker Offloading Jetty & Loading Arms,Tank Farm Crude Sludge & Wax Settling Survey,friction,24,₹24 Cr / yr,5s vs 1 Day,Bottom sludge builds up to 2m, reducing volume and jamming floating roofs.,Acoustic sludge level radar profiler optimizing tank mixer run hours.,,,,,
N7,N,7,p14,Marine Terminal & Offloading Superintendent,MIDSTREAM TRANSMISSION,ShipX / Maritech / TerminalView,Marine Crude Tanker Offloading Jetty & Loading Arms,Floating Roof Tank Vapor Seal Gap & Tilt QC,critical,85,₹85 Cr / yr,1s vs Inspection,Uneven liquid draw tilts floating roof; explosive vapor space forms beneath rim seal.,Optical tank shell radar alignment agent alerting of roof rim tilt or seal snagging.,,,,,
N8,N,8,p14,Marine Terminal & Offloading Superintendent,MIDSTREAM TRANSMISSION,ShipX / Maritech / TerminalView,Marine Crude Tanker Offloading Jetty & Loading Arms,Vessel Ballast Water Environmental Testing,baseline,14,₹14 Cr / yr,2s vs 4 Hrs,De-ballasting delays tanker loading while lab verifies sterilization.,Automated ballast water turbidity and salinity sensor validator certifying discharge.,,,,,
N9,N,9,p14,Marine Terminal & Offloading Superintendent,MIDSTREAM TRANSMISSION,ShipX / Maritech / TerminalView,Marine Crude Tanker Offloading Jetty & Loading Arms,Marine Terminal Firewater Ring Pressure Check,baseline,30,₹30 Cr / yr,1s vs Weekly,Jockey pump leak drops loop pressure; fails NFPA marine safety code.,Firewater distribution hydraulic loop sentinel validating 10-bar standby pressure 24/7.,,,,,
N10,N,10,p14,Marine Terminal & Offloading Superintendent,MIDSTREAM TRANSMISSION,ShipX / Maritech / TerminalView,Marine Crude Tanker Offloading Jetty & Loading Arms,High-Rate Crude Tanker Stripping & Cavitation,baseline,18,₹18 Cr / yr,2s vs 1 Hr,Cargo pumps cavitate on final tank heel; destroys impellers and slows offloading.,NPSH governor throttling export pumps to prevent cavitation.,,,,,
N11,N,11,p14,Marine Terminal & Offloading Superintendent,MIDSTREAM TRANSMISSION,ShipX / Maritech / TerminalView,Marine Crude Tanker Offloading Jetty & Loading Arms,Bunkering Fuel Quality & Sulfur Content Audit,baseline,25,₹25 Cr / yr,3s vs 3 Hrs,High-sulfur fuel inadvertently loaded into IMO 2020 low-sulfur vessel; legal seizure.,Fuel bunker lab assay cross-matcher confirming sulfur content <0.50% before bunkering.,,,,,
